MONTH,TEAM,SERVICE,DIVISION,COST
June,FFF,RDS,WEST,52
June,FFF,SSS,WEST,55
June,GGG,ECC,EAST,67
June,GGG,RDS,EAST,87
June,GGG,SSS,EAST,48
June,HHH,ECC,CENTRAL,80
June,HHH,RDS,CENTRAL,46
June,HHH,SSS,CENTRAL,99
June,III,ECC,WEST,74
June,III,RDS,WEST,62
June,III,SSS,WEST,87
June,JJJ,ECC,CENTRAL,94
June,JJJ,RDS,CENTRAL,56
June,JJJ,SSS,CENTRAL,24
July,AAA,ECC,EAST,66
July,AAA,RDS,EAST,89
July,AAA,SSS,EAST,10
July,BBB,ECC,CENTRAL,91
July,BBB,RDS,CENTRAL,90
July,BBB,SSS,CENTRAL,56
July,CCC,ECC,WEST,84
July,CCC,RDS,WEST,77
July,CCC,SSS,WEST,88
July,DDD,ECC,EAST,13
July,DDD,RDS,EAST,25
July,DDD,SSS,EAST,46
July,EEE,ECC,CENTRAL,77
July,EEE,RDS,CENTRAL,11
July,EEE,SSS,CENTRAL,37
July,FFF,ECC,WEST,29
July,FFF,RDS,WEST,96
July,FFF,SSS,WEST,65
July,GGG,ECC,EAST,53
July,GGG,RDS,EAST,64
July,GGG,SSS,EAST,59
July,HHH,ECC,CENTRAL,32
July,HHH,RDS,CENTRAL,50
July,HHH,SSS,CENTRAL,11
July,III,ECC,WEST,91
July,III,RDS,WEST,27
July,III,SSS,WEST,78
July,JJJ,ECC,CENTRAL,17
July,JJJ,RDS,CENTRAL,83
July,JJJ,SSS,CENTRAL,95
August,AAA,ECC,EAST,82
August,AAA,RDS,EAST,34
August,AAA,SSS,EAST,88
August,BBB,ECC,CENTRAL,90
August,BBB,RDS,CENTRAL,73
August,BBB,SSS,CENTRAL,91
August,CCC,ECC,WEST,43
August,CCC,RDS,WEST,63
August,CCC,SSS,WEST,14
August,DDD,ECC,EAST,87
August,DDD,RDS,EAST,64
August,DDD,SSS,EAST,15
August,EEE,ECC,CENTRAL,91
August,EEE,RDS,CENTRAL,41
August,EEE,SSS,CENTRAL,92
August,FFF,ECC,WEST,61
August,FFF,RDS,WEST,81
August,FFF,SSS,WEST,38
August,GGG,ECC,EAST,57
August,GGG,RDS,EAST,21
August,GGG,SSS,EAST,86
August,HHH,ECC,CENTRAL,43
August,HHH,RDS,CENTRAL,15
August,HHH,SSS,CENTRAL,90
August,III,ECC,WEST,72
August,III,RDS,WEST,30
August,III,SSS,WEST,51
August,JJJ,ECC,CENTRAL,47
August,JJJ,RDS,CENTRAL,77
August,JJJ,SSS,CENTRAL,13
September,AAA,ECC,EAST,41
September,AAA,RDS,EAST,90
September,AAA,SSS,EAST,93
September,BBB,ECC,CENTRAL,42
September,BBB,RDS,CENTRAL,48
September,BBB,SSS,CENTRAL,96
September,CCC,ECC,WEST,11
September,CCC,RDS,WEST,74
September,CCC,SSS,WEST,66
September,DDD,ECC,EAST,52
September,DDD,RDS,EAST,90
September,DDD,SSS,EAST,39
September,EEE,ECC,CENTRAL,35
September,EEE,RDS,CENTRAL,70
September,EEE,SSS,CENTRAL,86
September,FFF,ECC,WEST,62
September,FFF,RDS,WEST,60
September,FFF,SSS,WEST,25
September,GGG,ECC,EAST,64
September,GGG,RDS,EAST,84
September,GGG,SSS,EAST,99
September,HHH,ECC,CENTRAL,55
September,HHH,RDS,CENTRAL,21
September,HHH,SSS,CENTRAL,14
September,III,ECC,WEST,50
September,III,RDS,WEST,76
September,III,SSS,WEST,47
September,JJJ,ECC,CENTRAL,79
September,JJJ,RDS,CENTRAL,75
September,JJJ,SSS,CENTRAL,29
